Species,Family,Country where used [reference]
Abarema laeta (Benth.) Barneby & J.W. Grimes,Fabaceae,"Central America, [90]; Colombia, [158]; Peru, [15, 66, 166]"
Abuta grandifolia (Mart.) Sandwith,Menispermaceae,"Brazil, [24, 75, 102, 184, 185]; Colombia, [5, 134, 158]; Ecuador, [134, 163]; Peru, [66, 149, 152]"
Abuta grisebachii Triana & Planch.,Menispermaceae,"Brazil, [118] "
Abuta imene (Mart.) Eichler,Menispermaceae,"Brazil, [132, 184, 185] "
Abuta rufescens Aubl.,Menispermaceae,"Brazil, [51, 118, 131]; Colombia, [158]; Peru, [66, 166, 168] "
Abuta sandwithiana Krukoff & Barneby,Menispermaceae,"Brazil, [51, 134] "
Abuta sp.,Menispermaceae,"Brazil, [78]; Peru, [9, 71]"
Abutilon ibarrense Kunth,Malvaceae,"Ecuador, [134] "
Acanthospermum australe (Loefl.) Kuntze,Asteraceae,"Brazil, [28, 35, 127] "
Acanthospermum hispidum DC.,Asteraceae,"Argentina, [174]; Brazil, [78]"
Achillea millefolium L.*,Asteraceae,"Brazil, [59] "
Achyrocline satureioides (Lam.) DC.,Asteraceae,"Brazil, [54, 161] "
Acmella oleracea (L.) R.K. Jansen,Asteraceae,"Brazil, [102, 144, 154] "
Acorus calamus L.*,Acoraceae,"Colombia, [119] "
Acosmium sp.,Fabaceae,"Brazil, [132] "
Adenocalymma sp.,Bignoniaceae,"Peru, [149] "
Adenostemma platyphyllum Cass.,Asteraceae,"Colombia, [26] "
Adolphoduckea maynensis (Poepp. & Endl.) Paudyal & Delprete,Rubiaceae,"Unknown, [90] "
Ageratum echioides (Less.) Hemsl.,Asteraceae,"Guatemala, [6] "
Ageratum houstonianum Mill.,Asteraceae,"Colombia, [26] "
Agonandra brasiliensis Miers ex Benth. & Hook. f.,Opiliaceae,"Unknown, [90] "
Alchornea castaneifolia (Humb. & Bonpl. ex Willd.) A. Juss.,Euphorbiaceae,"Peru, [149] "
Alchornea triplinervia (Spreng.) Müll. Arg.,Euphorbiaceae,"Peru, [168] "
Alexa imperatricis (R.H. Schomb.) Baill.,Fabaceae,"Guianas, [188] "
Alibertia edulis (Rich.) A.Rich. ex DC.,Rubiaceae,"Venezuela, [134] "
Alibertia latifolia (Benth.) K.Schum,Rubiaceae,"Peru, [134] "
Alkekengi officinarum Moench *,Solanaceae,"Brazil, [34] "
Allamanda cathartica L.,Apocynaceae,"Guianas, [61, 138] "
Allium cepa L.*,Amaryllidaceae,"Bolivia, [199] "
Allium sativum L.*,Amaryllidaceae,"Brazil, [75, 59]; Colombia, [10]; Mexico, [138]; Peru, [168]"
Alnus glutinosa (L.) Gaertn.*,Betulaceae,"Colombia, [165] "
Aloe vera (L.) Burm.f.*,Xanthorrhoeaceae,"Brazil, [194]; Guianas, [61]; Honduras, [115] "
Alonsoa meridionalis (L.f.) Kuntze,Scrophulariaceae,"Colombia, [85] "
Aloysia citriodora Palau,Verbenaceae,"Brazil, [24] "
Aloysia trifida (Gay) Lu-Irving & N.O'Leary,Verbenaceae,"Brazil, [98] "
Alpinia nutans (L.) Roscoe*,Zingiberaceae,"Peru, [168] "
Alpinia zerumbet (Pers.) B.L. Burtt & R.M. Sm.*,Zingiberaceae,"Brazil, [102, 184, 185] "
Alstonia longifolia (A.DC.) Pichon,Apocynaceae,"Guatemala, [134] "
Alternanthera brasiliana (L.) Kuntze,Amaranthaceae,"Peru, [168] "
Alternanthera cf. laguroides (Standl.) Standl.,Amaranthaceae,"Colombia, [26] "
Alternanthera lanceolata (Benth.) Schinz,Amaranthaceae,"Colombia, [26, 134] "
Alternanthera sessilis (L.) R.Br. ex DC.,Amaranthaceae,"Brazil, [185] "
Alternanthera sp.,Amaranthaceae,"Peru, [149] "
Amanoa sp.,Phyllanthaceae,"Peru, [123, 134] "
Amboroa geminata Cabrera,Asteraceae,"Bolivia, [183] "
Ambrosia artemisiifolia L.,Asteraceae,"Colombia, [192] "
Ambrosia cumanensis Kunth,Asteraceae,"Colombia, [26, 134]; Peru, [149]"
Ambrosia tenuifolia Spreng.,Asteraceae,"Bolivia, [157] "
Amburana cearensis (Allemao) A.C.Sm.,Fabaceae,"Bolivia, [199] "
Ampelozizyphus amazonicus Ducke,Rhamnaceae,"Brazil, [35, 51, 102, 78, 105, 118, 128, 131, 137, 144, 147, 154, 97, 184, 185, 186, 194] "
Anacardium occidentale L.,Anacardiaceae,"Brazil, [186, 193]; Colombia, [192]; Peru, [168] "
Anacardium sp. ø,Anacardiaceae,"Brazil, [132] "
Anadenanthera colubrina (Vell.) Brenan,Fabaceae,"Brazil, [55] "
Anadenanthera peregrina (L.) Speg.,Fabaceae,"Brazil, [78] "
Ananas sp.,Bromeliaceae,"Brazil, [118] "
Andira surinamensis (Bondt) Splitg. ex Pulle,Fabaceae,"Brazil, [131] "
Angelica archangelica L.*,Apiaceae,"Brazil, [170] "
Angelica sylvestris L.*,Apiaceae,"Colombia, [119] "
Angostura trifoliata (Willd.) T.S. Elias,Rutaceae,"Brazil, [34]; Colombia, [150]; Venezuela, [62, 134]; Unknown, [90]"
Aniba canellila (Kunth) Mez,Lauraceae,"Brazil, [28] "
Aniba muca (Ruiz & Pav.) Mez,Lauraceae,"Peru, [134]; Unknown, [90]"
Annona foetida Mart.,Annonaceae,"Brazil, [137] "
Annona mucosa Jacq.,Annonaceae,"Brazil, [118] "
Annona muricata L.,Annonaceae,"Brazil, [102]; Colombia, [85]"
Annona sp.,Annonaceae,"Colombia, [134] "
Aphelandra scabra (Vahl) Sm.,Acanthaceae,"Belize, [134] "
Apium graveolens L.*,Apiaceae,"Colombia, [81] "
Aquarius macrophyllus (Kunth) Christenh. & Byng,Alismataceae,"Brazil, [59] "
Argemone mexicana L.,Papaveraceae,"Belize, [134]; Colombia, [150]; Venezuela, [81] "
Aristolochia constricta Griseb.,Aristolochiaceae,"Colombia, [26, 134] "
Aristolochia cordigera (Klotzsch) Duch.,Aristolochiaceae,"Brazil, [137] "
Aristolochia cymbifera Mart.,Aristolochiaceae,"Brazil, [24, 28] "
Aristolochia esperanzae Kuntze,Aristolochiaceae,"Brazil, [7, 137, 161, 162] "
Aristolochia grandiflora Sw.,Aristolochiaceae,"Belize, [18] "
Aristolochia labiata Willd.,Aristolochiaceae,"Brazil, [79] "
Aristolochia sp.,Aristolochiaceae,"Brazil, [34, 59]; Colombia, [85]; Ecuador, [163]; Peru, [134]"
Aristolochia stahelii O.C. Schmidt,Aristolochiaceae,"Guianas, [61, 91, 196] "
Aristolochia surinamensis Willd.,Aristolochiaceae,"Guianas, [61] "
Aristolochia tonduzii O.C. Schmidt,Aristolochiaceae,"Colombia, [26] "
Aristolochia triangularis Cham.,Aristolochiaceae,"Brazil, [137, 162] "
Aristolochia trilobata L.,Aristolochiaceae,"Brazil, [102]; Colombia, [26]; Guianas, [61, 91, 196] "
Artemisia absinthium L.*,Asteraceae,"Colombia, [85, 165]; Peru, [37]"
Artemisia sp.,Asteraceae,"Guianas, [196] "
Artemisia vulgaris L.*,Asteraceae,"Brazil, [51, 102, 131, 144, 184, 185]; Colombia, [10, 26]"
Arthrostema ciliatum Ruiz & Pav.,Melastomataceae,"Colombia, [81] "
Asclepias curassavica L.,Apocynaceae,"Central America, [112] "
Aspidosperma album (Vahl) Benoist ex Pichon,Apocynaceae,"Brazil, [105]; Guianas, [61]"
Aspidosperma carapanauba Pichon,Apocynaceae,"Brazil, [102] "
Aspidosperma cf. desmanthum Benth. ex Müll. Arg.,Apocynaceae,"Guianas, [61] "
Aspidosperma discolor A. DC.,Apocynaceae,"Brazil, [137, 142, 98]; Unknown, [90]"
Aspidosperma excelsum Benth.,Apocynaceae,"Brazil, [5, 35, 51, 66, 75, 102, 128, 131, 137, 144, 147, 54, 185, 186, 193]; Colombia, [158]; Guianas, [188, 61]; Peru, [120, 134, 149, 168]; Venezuela, [134]; Unknown, [90]"
Aspidosperma illustre (Vell.) Kuhlm. & Piraja,Apocynaceae,"Brazil, [50] "
Aspidosperma megalocarpon Müll.Arg.,Apocynaceae,"Bolivia, [199]; Guatemala, [141]"
Aspidosperma megaphyllum Woodson,Apocynaceae,"Brazil, [75] "
Aspidosperma oblongum A. DC.,Apocynaceae,"Guianas, [61] "
Aspidosperma parvifolium A. DC.,Apocynaceae,"Peru, [149] "
Aspidosperma pichonianum Woodson,Apocynaceae,"Venezuela, [111] "
Aspidosperma polyneuron Müll.Arg,Apocynaceae,"Brazil, [28] "
Aspidosperma quebracho-blanco Schltdl.,Apocynaceae,"Argentina, [174]; Bolivia, [134]; Paraguay, [88]; Unknown, [90]"
Aspidosperma rigidum Rusby,Apocynaceae,"Brazil, [144]; Peru, [120]"
Aspidosperma schultesii Woodson,Apocynaceae,"Brazil, [118, 185] "
Aspidosperma sp.,Apocynaceae,"Brazil, [78, 154, 179, 184, 185, 186, 194] "
Aspidosperma spruceanum Benth. ex Müll.Arg.,Apocynaceae,"Brazil, [161] "
Aspidosperma subincanum Mart. ex A.DC.,Apocynaceae,"Brazil, [161] "
Aspidosperma ulei Markgr.,Apocynaceae,"Guianas, [61] "
Astrocaryum aculeatum G. Mey.,Arecaceae,"Brazil, [78, 118, 185] "
Astrocaryum chambira Burret,Arecaceae,"Peru, [20] "
Astrocaryum chonta Mart.,Arecaceae,"Peru, [2, 11, 120] "
Astrocaryum murumuru Mart.,Arecaceae,"Peru, [20] "
Attalea maripa (Aubl.) Mart.,Arecaceae,"Brazil, [118] "
Austroeupatorium inulifolium (Kunth) R.M.King & H.Rob.,Asteraceae,"Colombia, [26, 134] "
Ayapana lanceolata R.M. King & H. Rob.,Asteraceae,"Peru, [168] "
Ayapana triplinervis (Vahl) R.M. King & H. Rob.,Asteraceae,"Guianas, [61, 91, 196] "
Azadirachta indica A. Juss.*,Meliaceae,"Brazil, [51]; Guianas, [61, 121]; Venezuela, [40] "
Baccharis crispa Spreng.,Asteraceae,"Brazil, [24, 50] "
Baccharis genistelloides (Lam.) Pers.,Asteraceae,"Peru, [169] "
Baccharis salicifolia (Ruiz & Pav.) Pers.,Asteraceae,"Peru, [169] "
Bacopa monnieri (L.) Wettst.,Plantaginaceae,"Guianas, [61, 91] "
Bactris acanthocarpa Mart.,Arecaceae,"Peru, [20] "
Bactris gasipaes Kunth,Arecaceae,"Colombia, [146]; Ecuador, [84]; Peru, [20] "
Bactris maraja Mart.,Arecaceae,"Colombia, [146] "
Bambusa vulgaris Schrad. ex J.C. Wendl.*,Poaceae,"Caribbean, [16]; Guianas, [61]"
Banara guianensis Aubl.,Salicaceae,"Guianas, [61, 196] "
Banisteriopsis caapi (Spruce ex Griseb.) C.V. Morton,Malpighiaceae,"Brazil, [51, 118, 186]; Ecuador, [84, 130]; Peru, [149, 168] "
Banisteriopsis sp.,Malpighiaceae,"Brazil, [147] "
Bathysa australis (A. St.-Hil.) Hook. f. ex K. Schum.,Rubiaceae,"Brazil, [50] "
Bauhinia sp.,Fabaceae,"Peru, [143] "
Bauhinia ungulata L.,Fabaceae,"Brazil, [131] "
Begonia cucullata var. arenosicola (C. DC.) L.B. Sm. & B.G. Schub.,Begoniaceae,"Paraguay, [88] "
Begonia parviflora Poepp. & Endl.,Begoniaceae,"Peru, [31, 42] "
Beilschmiedia brasiliensis (Kosterm.) Kosterm.,Lauraceae,"Colombia, [145, 158] "
Berberis glauca Kunth,Berberidaceae,"Colombia, [81] "
Berberis goudotii Triana & Planch.,Berberidaceae,"Colombia, [81] "
Berberis laurina Thunb.,Berberidaceae,"Brazil, [137] "
Berberis rigidifolia Kunth,Berberidaceae,"Colombia, [81] "
Berberis ruscifolia Lam.,Berberidaceae,"Argentina, [87]; Colombia, [119]"
Berberis spinulosa A. St.-Hil.,Berberidaceae,"Brazil, [137] "
Berberis vulgaris L.*,Berberidaceae,"Colombia, [10] "
Bertholletia excelsa Humb. & Bonpl.,Lecythidaceae,"Brazil, [24, 35, 47, 78, 144, 147, 154, 172, 179, 184, 185] "
Beta vulgaris L.*,Amaranthaceae,"Brazil, [194] "
Bidens bipinnata L.,Asteraceae,"Brazil, [105, 144, 179] "
Bidens cynapiifolia Kunth,Asteraceae,"Brazil, [102, 78, 131, 147, 184, 185, 193]; Guianas, [61, 92]"
Bidens pilosa L.,Asteraceae,"Brazil, [24, 28, 75, 58, 128, 59, 54, 161]; Colombia, [26]; Peru, [31, 42] "
Bignonia binata Thunb.,Bignoniaceae,"Colombia, [158] "
Bixa orellana L.,Bixaceae,"Bolivia, [199]; Brazil, [35, 118, 128, 131, 170]; Colombia, [26]; Guianas, [23, 61]; Peru, [149, 168]; Venezuela, [40]"
Blainvillea acmella (L.) Philipson,Asteraceae,"Colombia, [26]"
Bocoa prouacensis Aubl.,Fabaceae,"Guianas, [61] "
Boerhavia coccinea Mill.,Nyctaginaceae,"Brazil, [6] "
Boerhavia diffusa L.,Nyctaginaceae,"Brazil, [128] "
Boerhavia repens L.,Nyctaginaceae,"Brazil, [35] "
Bonamia ferruginea (Choisy) Hallier f.,Convolvulaceae,"Brazil, [102, 78, 105, 154, 179, 184, 185, 194] "
Bonnetia paniculata Spruce ex Benth.,Bonnetiaceae,"Peru, [169] "
Bouchea prismatica (L.) Kuntze,Verbenaceae,"Colombia, [81] "
Bowdichia virgilioides Kunth,Fabaceae,"Bolivia, [29] "
Briquetia spicata (Kunth) Fryxell,Malvaceae,"Brazil, [80] "
Brosimum guianense (Aubl.) Huber ex Ducke,Moraceae,"Venezuela, [134] "
Brosimum lactescens (S. Moore) C.C. Berg,Moraceae,"Peru, [120] "
Brosimum rubescens Taub.,Moraceae,"Peru, [168] "
Brosimum sp.,Moraceae,"Brazil, [144] "
Brunfelsia grandiflora D. Don,Solanaceae,"Peru, [120, 134, 168] "
Brunfelsia sp.,Solanaceae,"Peru, [123, 134] "
Bursera simaruba (L.) Sarg.,Burseraceae,"Honduras, [115] "
Byrsonima crassa Nied.,Malpighiaceae,"Brazil, [170] "
Byrsonima crassifolia (L.) Kunth,Malpighiaceae,"Brazil, [128, 132] "
Byrsonima japurensis A.Juss.,Malpighiaceae,"Colombia, [158] "
Byrsonima pachypoda W.R. Anderson,Malpighiaceae,"Guianas, [61] "
Byrsonima sp.,Malpighiaceae,"Brazil, [102, 132] "
Byrsonima verbascifolia (L.) DC.,Malpighiaceae,"Brazil, [132]; Guianas, [61]"
Cabralea cangerana Saldanha,Meliaceae,"Brazil, [79] "
Calea berteroana DC.,Asteraceae,"Colombia, [85] "
Calliandra purdiei Benth.,Fabaceae,"Colombia, [49] "
Calliandra sp.,Fabaceae,"Ecuador, [134] "
Callichlamys latifolia (Rich.) K. Schum.,Bignoniaceae,"Colombia, [158] "
Calolisianthus pendulus (Mart.) Gilg,Gentianaceae,"Brazil, [137] "
Calolisianthus speciosus (Cham. & Schltdl.) Gilg,Gentianaceae,"Brazil, [35] "
Calycophyllum megistocaulum (K. Krause) C.M. Taylor,Rubiaceae,"Peru, [72] "
Calycophyllum multiflorum Griseb.,Rubiaceae,"Paraguay, [88] "
Calycophyllum spruceanum (Benth.) Hook. f. ex K. Schum.,Rubiaceae,"Peru, [14, 149] "
Campomanesia aromatica (Aubl.) Griseb.,Myrtaceae,"Guianas, [196] "
Campomanesia grandiflora (Aubl.) Sagot,Myrtaceae,"Guianas, [196] "
Campsiandra angustifolia Spruce ex Benth.,Fabaceae,"Peru, [66, 120, 168, 177] "
Campsiandra comosa Benth.,Fabaceae,"Brazil, [102]; Peru, [66]; Unknown, [90] "
Campsiandra implexicaulis Stergios,Fabaceae,"Brazil, [137] "
Campsiandra laurifolia Benth.,Fabaceae,"Peru, [169] "
Cantua quercifolia Juss.,Polemoniaceae,"Ecuador, [6] "
Capirona decorticans Spruce,Rubiaceae,"Brazil, [198]; Peru, [191]"
Capsella bursa-pastoris (L.) Medik.*,Brassicaceae,"Colombia, [119]; Unknown, [187]"
Capsicum annuum L.,Solanaceae,"Brazil, [131]; Peru, [160]"
Capsicum frutescens L.,Solanaceae,"Brazil, [184, 185]; Panama, [69]"
Carapa guianensis Aubl.,Meliaceae,"Brazil, [34, 102, 137, 144, 179]; Guianas, [61]; Nicaragua, [77]; Peru, [120]"
Carapichea ipecacuanha (Brot.) L. Andersson,Rubiaceae,"Brazil, [3]; Nicaragua, [77]; Peru, [72] "
Carica papaya L.,Caricaceae,"Belize, [12]; Brazil, [75, 118, 131, 144, 59, 179, 184, 185, 194]; Guianas, [23, 61, 138, 196]; Peru, [168, 42]; Venezuela, [40] "
Carludovica palmata Ruiz & Pav.,Cyclanthaceae,"Peru, [9] "
Cascabela thevetia (L.) Lippold,Apocynaceae,"Mexico, [138] "
Casearia aff. spruceana Benth. ex Eichler,Salicaceae,"Brazil, [33] "
Casearia sp.,Salicaceae,"Brazil, [65] "
Cassia fistula L.,Fabaceae,"Brazil, [28]; Colombia, [192]"
Catharanthus roseus (L.) G. Don*,Apocynaceae,"Brazil, [1, 28, 34] "
Cayaponia peruviana (Poepp. & Endl.) Cogn.,Cucurbitaceae,"Ecuador, [134] "
Cecropia angulata I.W. Bailey,Urticaceae,"Guianas, [61] "
Cecropia ficifolia Warb. ex Snethl.,Urticaceae,"Brazil, [142, 185]; Unknown, [90]"
Cecropia hololeuca Miq.,Urticaceae,"Brazil, [28] "
Cecropia peltata L.,Urticaceae,"Brazil, [63] "
Cecropia sp.,Urticaceae,"Brazil, [102, 132, 194]; Colombia, [85]"
Cedrela fissilis Vell.,Meliaceae,"Brazil, {28]; Bolivia, [139, 199]"
Cedrela odorata L.,Meliaceae,"Brazil, [8, 24, 51, 75, 131, 144]; Colombia, [26]; Ecuador, [134]; Guatemala, [13]; Peru, [72, 93, 120, 149, 191]; Venezuela, [40]"
Ceiba pentandra (L.) Gaertn.,Malvaceae,"Peru, [168] "
Celosia argentea L.*,Amaranthaceae,"Colombia, [26] "
Cenchrus echinatus L.,Poaceae,"Brazil, [131] "
Centaurium erythraea Rafn*,Gentianaceae,"Brazil, [41] "
Centratherum punctatum Cass.,Asteraceae,"Venezuela, [62] "
Cereus hexagonus (L.) Mill.,Cactaceae,"Guianas, [92] "
Ceroxylon quindiuense (H. Karst.) H. Wendl.,Arecaceae,"Peru, [146] "
Cespedesia spathulata (Ruiz & Pav.) Planch.,Ochnaceae,"Peru, [134] "
Cestrum auriculatum L'Hér.,Solanaceae,"Peru, [129] "
Cestrum euanthes Schltdl.,Solanaceae,"Brazil, [50, 137] "
Cestrum parqui (Lam.) L'Hér.,Solanaceae,"Brazil, [137] "
Cestrum racemosum Ruiz & Pav.,Solanaceae,"Peru, [31, 42] "
Cestrum schlechtendahlii G.Don,Solanaceae,"Peru, [168] "
