class,family,genus,n_species,n_antimalarial
Cycadopsida,Cycadaceae,Cycas,1,0
Cycadopsida,Zamiaceae,Ceratozamia,30,0
Cycadopsida,Zamiaceae,Dioon,16,0
Cycadopsida,Zamiaceae,Microcycas,1,0
Cycadopsida,Zamiaceae,Zamia,79,0
Gnetopsida,Ephedraceae,Ephedra,13,0
Gnetopsida,Gnetaceae,Gnetum,7,0
Liliopsida,Alismataceae,Albidella,1,0
Liliopsida,Alismataceae,Aquarius,26,1
Liliopsida,Alismataceae,Echinodorus,1,0
Liliopsida,Alismataceae,Helanthium,3,0
Liliopsida,Alismataceae,Hydrocleys,5,0
Liliopsida,Alismataceae,Limnocharis,2,1
Liliopsida,Alismataceae,Sagittaria,15,0
Liliopsida,Alstroemeriaceae,Alstroemeria,67,0
Liliopsida,Alstroemeriaceae,Bomarea,121,0
Liliopsida,Amaryllidaceae,Allium,30,0
Liliopsida,Amaryllidaceae,Caliphruria,3,0
Liliopsida,Amaryllidaceae,Cearanthes,1,0
Liliopsida,Amaryllidaceae,Chlidanthus,4,0
Liliopsida,Amaryllidaceae,Clinanthus,22,0
Liliopsida,Amaryllidaceae,Crinum,14,0
Liliopsida,Amaryllidaceae,Eucrosia,7,0
Liliopsida,Amaryllidaceae,Eustephia,6,0
Liliopsida,Amaryllidaceae,Griffinia,23,0
Liliopsida,Amaryllidaceae,Hieronymiella,3,0
Liliopsida,Amaryllidaceae,Hippeastrum,99,1
Liliopsida,Amaryllidaceae,Hymenocallis,49,1
Liliopsida,Amaryllidaceae,Ismene,11,0
Liliopsida,Amaryllidaceae,Leptochiton,2,0
Liliopsida,Amaryllidaceae,Miersia,1,0
Liliopsida,Amaryllidaceae,Nothoscordum,36,0
Liliopsida,Amaryllidaceae,Pamianthe,3,0
Liliopsida,Amaryllidaceae,Paramongaia,5,0
Liliopsida,Amaryllidaceae,Phaedranassa,10,0
Liliopsida,Amaryllidaceae,Plagiolirion,1,0
Liliopsida,Amaryllidaceae,Pyrolirion,8,0
Liliopsida,Amaryllidaceae,Rauhia,5,0
Liliopsida,Amaryllidaceae,Schickendantziella,1,0
Liliopsida,Amaryllidaceae,Sprekelia,1,0
Liliopsida,Amaryllidaceae,Stenomesson,17,0
Liliopsida,Amaryllidaceae,Trichlora,4,0
Liliopsida,Amaryllidaceae,Tristagma,2,0
Liliopsida,Amaryllidaceae,Urceolina,24,1
Liliopsida,Amaryllidaceae,Worsleya,1,0
Liliopsida,Amaryllidaceae,Zephyranthes,113,0
Liliopsida,Araceae,Adelonema,16,0
Liliopsida,Araceae,Alloschemone,2,0
Liliopsida,Araceae,Anaphyllopsis,3,0
Liliopsida,Araceae,Anthurium,1079,0
Liliopsida,Araceae,Arisaema,2,0
Liliopsida,Araceae,Asterostigma,8,0
Liliopsida,Araceae,Bognera,1,0
Liliopsida,Araceae,Caladium,19,0
Liliopsida,Araceae,Chlorospatha,70,1
Liliopsida,Araceae,Croatiella,1,0
Liliopsida,Araceae,Dieffenbachia,57,0
Liliopsida,Araceae,Dracontioides,2,0
Liliopsida,Araceae,Dracontium,29,0
Liliopsida,Araceae,Filarum,1,0
Liliopsida,Araceae,Gearum,1,0
Liliopsida,Araceae,Gorgonidium,8,0
Liliopsida,Araceae,Heteropsis,19,1
Liliopsida,Araceae,Idimanthus,1,0
Liliopsida,Araceae,Incarum,1,0
Liliopsida,Araceae,Jasarum,1,0
Liliopsida,Araceae,Lemna,8,0
Liliopsida,Araceae,Lorenzia,1,0
Liliopsida,Araceae,Mangonia,1,0
Liliopsida,Araceae,Monstera,45,1
Liliopsida,Araceae,Montrichardia,2,1
Liliopsida,Araceae,Peltandra,1,0
Liliopsida,Araceae,Philodendron,537,2
Liliopsida,Araceae,Philonotion,3,0
Liliopsida,Araceae,Pistia,1,0
Liliopsida,Araceae,Rhodospatha,30,0
Liliopsida,Araceae,Scaphispatha,2,0
Liliopsida,Araceae,Spathantheum,1,0
Liliopsida,Araceae,Spathicarpa,3,0
Liliopsida,Araceae,Spathiphyllum,49,0
Liliopsida,Araceae,Spirodela,2,0
Liliopsida,Araceae,Stenospermation,52,0
Liliopsida,Araceae,Synandrospadix,1,0
Liliopsida,Araceae,Syngonium,39,0
Liliopsida,Araceae,Taccarum,6,0
Liliopsida,Araceae,Thaumatophyllum,20,2
Liliopsida,Araceae,Ulearum,2,0
Liliopsida,Araceae,Urospatha,11,0
Liliopsida,Araceae,Wolffia,3,0
Liliopsida,Araceae,Wolffiella,6,0
Liliopsida,Araceae,Xanthosoma,194,0
Liliopsida,Araceae,Zomicarpa,2,0
Liliopsida,Araceae,Zomicarpella,2,0
Liliopsida,Arecaceae,Acoelorraphe,1,0
Liliopsida,Arecaceae,Acrocomia,9,0
Liliopsida,Arecaceae,Aiphanes,38,0
Liliopsida,Arecaceae,Allagoptera,6,0
Liliopsida,Arecaceae,Ammandra,1,0
Liliopsida,Arecaceae,Aphandra,1,0
Liliopsida,Arecaceae,Asterogyne,5,0
Liliopsida,Arecaceae,Astrocaryum,38,4
Liliopsida,Arecaceae,Attalea,65,1
Liliopsida,Arecaceae,Bactris,79,3
Liliopsida,Arecaceae,Barcella,1,0
Liliopsida,Arecaceae,Brahea,11,0
Liliopsida,Arecaceae,Butia,18,0
Liliopsida,Arecaceae,Calyptrogyne,18,0
Liliopsida,Arecaceae,Calyptronoma,3,0
Liliopsida,Arecaceae,Ceroxylon,12,1
Liliopsida,Arecaceae,Chamaedorea,104,0
Liliopsida,Arecaceae,Chelyocarpus,4,0
Liliopsida,Arecaceae,Coccothrinax,55,0
Liliopsida,Arecaceae,Colpothrinax,3,0
Liliopsida,Arecaceae,Copernicia,22,0
Liliopsida,Arecaceae,Cryosophila,10,0
Liliopsida,Arecaceae,Desmoncus,24,0
Liliopsida,Arecaceae,Dictyocaryum,3,0
Liliopsida,Arecaceae,Elaeis,1,0
Liliopsida,Arecaceae,Euterpe,7,4
Liliopsida,Arecaceae,Gaussia,5,0
Liliopsida,Arecaceae,Geonoma,68,0
Liliopsida,Arecaceae,Hemithrinax,3,0
Liliopsida,Arecaceae,Hyospathe,6,0
Liliopsida,Arecaceae,Iriartea,1,1
Liliopsida,Arecaceae,Iriartella,2,2
Liliopsida,Arecaceae,Itaya,1,0
Liliopsida,Arecaceae,Leopoldinia,2,0
Liliopsida,Arecaceae,Lepidocaryum,1,1
Liliopsida,Arecaceae,Leucothrinax,1,0
Liliopsida,Arecaceae,Manicaria,2,0
Liliopsida,Arecaceae,Mauritia,2,1
Liliopsida,Arecaceae,Mauritiella,4,0
Liliopsida,Arecaceae,Neonicholsonia,1,0
Liliopsida,Arecaceae,Oenocarpus,9,2
Liliopsida,Arecaceae,Parajubaea,3,0
Liliopsida,Arecaceae,Pholidostachys,8,0
Liliopsida,Arecaceae,Phytelephas,4,1
Liliopsida,Arecaceae,Prestoea,10,0
Liliopsida,Arecaceae,Pseudophoenix,4,0
Liliopsida,Arecaceae,Raphia,1,0
Liliopsida,Arecaceae,Reinhardtia,6,0
Liliopsida,Arecaceae,Roystonea,9,0
Liliopsida,Arecaceae,Sabal,15,0
Liliopsida,Arecaceae,Sabinaria,1,0
Liliopsida,Arecaceae,Schippia,1,0
Liliopsida,Arecaceae,Socratea,5,1
Liliopsida,Arecaceae,Syagrus,67,0
Liliopsida,Arecaceae,Synechanthus,3,0
Liliopsida,Arecaceae,Thrinax,3,0
Liliopsida,Arecaceae,Trithrinax,2,0
Liliopsida,Arecaceae,Washingtonia,2,0
Liliopsida,Arecaceae,Welfia,2,0
Liliopsida,Arecaceae,Wendlandiella,1,0
Liliopsida,Arecaceae,Wettinia,22,0
Liliopsida,Arecaceae,Zombia,1,0
Liliopsida,Asparagaceae,Agave,265,0
Liliopsida,Asparagaceae,Beaucarnea,13,0
Liliopsida,Asparagaceae,Beschorneria,8,0
Liliopsida,Asparagaceae,Bessera,3,0
Liliopsida,Asparagaceae,Bloomeria,2,0
Liliopsida,Asparagaceae,Brodiaea,2,0
Liliopsida,Asparagaceae,Clara,2,0
Liliopsida,Asparagaceae,Cordyline,1,0
Liliopsida,Asparagaceae,Dandya,4,0
Liliopsida,Asparagaceae,Dasylirion,23,0
Liliopsida,Asparagaceae,Diamena,1,0
Liliopsida,Asparagaceae,Dichelostemma,1,0
Liliopsida,Asparagaceae,Diora,1,0
Liliopsida,Asparagaceae,Dracaena,2,0
Liliopsida,Asparagaceae,Echeandia,83,0
Liliopsida,Asparagaceae,Furcraea,24,0
Liliopsida,Asparagaceae,Hagenbachia,6,0
Liliopsida,Asparagaceae,Hemiphylacus,5,0
Liliopsida,Asparagaceae,Herreria,6,0
Liliopsida,Asparagaceae,Hesperaloe,7,0
Liliopsida,Asparagaceae,Hesperocallis,1,0
Liliopsida,Asparagaceae,Hesperoyucca,1,0
Liliopsida,Asparagaceae,Hooveria,1,0
Liliopsida,Asparagaceae,Jaimehintonia,1,0
Liliopsida,Asparagaceae,Maianthemum,13,0
Liliopsida,Asparagaceae,Milla,11,0
Liliopsida,Asparagaceae,Muilla,1,0
Liliopsida,Asparagaceae,Nolina,26,0
Liliopsida,Asparagaceae,Oziroe,4,0
Liliopsida,Asparagaceae,Petronymphe,2,0
Liliopsida,Asparagaceae,Polygonatum,1,0
