submitted,match_id,status,accepted_id,accepted_name,accepted_authors,accepted_rank,accepted_species,accepted_species_id,hybrid,in_study_region,accepted_genus,removal_reason,included_in_analysis
Abarema laeta (Benth.) Barneby & J.W. Grimes,989371-1,accepted,989371-1,Abarema laeta,(Benth.) Barneby & J.W.Grimes,Species,Abarema laeta,989371-1,FALSE,TRUE,Abarema,NA,TRUE
Abuta grandifolia (Mart.) Sandwith,147-2,accepted,147-2,Abuta grandifolia,(Mart.) Sandwith,Species,Abuta grandifolia,147-2,FALSE,TRUE,Abuta,NA,TRUE
Abuta grisebachii Triana & Planch.,580056-1,accepted,580056-1,Abuta grisebachii,Triana & Planch.,Species,Abuta grisebachii,580056-1,FALSE,TRUE,Abuta,NA,TRUE
Abuta imene (Mart.) Eichler,580059-1,accepted,580059-1,Abuta imene,(Mart.) Eichler,Species,Abuta imene,580059-1,FALSE,TRUE,Abuta,NA,TRUE
Abuta rufescens Aubl.,580080-1,accepted,580080-1,Abuta rufescens,Aubl.,Species,Abuta rufescens,580080-1,FALSE,TRUE,Abuta,NA,TRUE
Abuta sandwithiana Krukoff & Barneby,158-2,accepted,158-2,Abuta sandwithiana,Krukoff & Barneby,Species,Abuta sandwithiana,158-2,FALSE,TRUE,Abuta,NA,TRUE
Abuta sp.,26864-1,accepted,26864-1,Abuta,Aubl.,Genus,NA,NA,FALSE,TRUE,Abuta,NA,TRUE
Abutilon ibarrense Kunth,323515-2,accepted,323515-2,Abutilon ibarrense,Kunth,Species,Abutilon ibarrense,323515-2,FALSE,TRUE,Abutilon,NA,TRUE
Acacia farnesiana (L.) Willd.,470307-1,homotypic synonym,1099713-2,Vachellia farnesiana,NA,Species,Vachellia farnesiana,1099713-2,FALSE,TRUE,Vachellia,NA,TRUE
Acanthospermum australe (Loefl.) Kuntze,1692-2,accepted,1692-2,Acanthospermum australe,(Loefl.) Kuntze,Species,Acanthospermum australe,1692-2,FALSE,TRUE,Acanthospermum,NA,TRUE
Acanthospermum hispidum DC.,173718-1,accepted,173718-1,Acanthospermum hispidum,DC.,Species,Acanthospermum hispidum,173718-1,FALSE,TRUE,Acanthospermum,NA,TRUE
Achillea millefolium L.,2294-2,accepted,2294-2,Achillea millefolium,L.,Species,Achillea millefolium,2294-2,FALSE,TRUE,Achillea,NA,TRUE
Achyrocline satureioides (Lam.) DC.,174407-1,accepted,174407-1,Achyrocline saturejoides,(Lam.) DC.,Species,Achyrocline saturejoides,174407-1,FALSE,TRUE,Achyrocline,NA,TRUE
Acmella oleracea (L.) R.K. Jansen,914778-1,accepted,914778-1,Acmella oleracea,(L.) R.K.Jansen,Species,Acmella oleracea,914778-1,FALSE,FALSE,Acmella,not native to SA,FALSE
Acnistus arborescens (L.) Schltdl.,814189-1,homotypic synonym,77186334-1,Iochroma arborescens,NA,Species,Iochroma arborescens,77186334-1,FALSE,TRUE,Iochroma,NA,TRUE
Acorus calamus L.,84009-1,accepted,84009-1,Acorus calamus,L.,Species,Acorus calamus,84009-1,FALSE,FALSE,Acorus,not native to SA,FALSE
Acosmium panamense (Benth.) Yakovlev,3449-2,homotypic synonym,77091925-1,Leptolobium panamense,NA,Species,Leptolobium panamense,77091925-1,FALSE,TRUE,Leptolobium,NA,TRUE
Acosmium sp.,30026970-2,accepted,30026970-2,Acosmium,Schott,Genus,NA,NA,FALSE,TRUE,Acosmium,NA,TRUE
Adenocalymma sp.,30000239-2,accepted,30000239-2,Adenocalymma,Mart. ex Meisn.,Genus,NA,NA,FALSE,TRUE,Adenocalymma,NA,TRUE
Adenostemma platyphyllum Cass.,175016-1,accepted,175016-1,Adenostemma platyphyllum,Cass.,Species,Adenostemma platyphyllum,175016-1,FALSE,TRUE,Adenostemma,NA,TRUE
Ageratum echioides (Less.) Hemsl.,175484-1,accepted,175484-1,Ageratum echioides,Hemsl.,Species,Ageratum echioides,175484-1,FALSE,TRUE,Ageratum,NA,TRUE
Ageratum houstonianum Mill.,175500-1,accepted,175500-1,Ageratum houstonianum,Mill.,Species,Ageratum houstonianum,175500-1,FALSE,TRUE,Ageratum,NA,TRUE
Agonandra brasiliensis Miers ex Benth. & Hook. f.,301518-2,accepted,301518-2,Agonandra brasiliensis,Benth. & Hook.f.,Species,Agonandra brasiliensis,301518-2,FALSE,TRUE,Agonandra,NA,TRUE
Alchornea castaneifolia (Humb. & Bonpl. ex Willd.) A. Juss.,338372-1,accepted,338372-1,Alchornea castaneifolia,(Humb. & Bonpl. ex Willd.) A.Juss.,Species,Alchornea castaneifolia,338372-1,FALSE,TRUE,Alchornea,NA,TRUE
Alchornea triplinervia (Spreng.) Müll. Arg.,30014592-2,accepted,30014592-2,Alchornea triplinervia,(Spreng.) Müll.Arg.,Species,Alchornea triplinervia,30014592-2,FALSE,TRUE,Alchornea,NA,TRUE
Alexa imperatricis (R.H. Schomb.) Baill.,473455-1,accepted,473455-1,Alexa imperatricis,(R.H.Schomb.) Baill.,Species,Alexa imperatricis,473455-1,FALSE,TRUE,Alexa,NA,TRUE
Alibertia edulis (Rich.) A.Rich. ex DC.,743001-1,accepted,743001-1,Alibertia edulis,(Rich.) A.Rich.,Species,Alibertia edulis,743001-1,FALSE,TRUE,Alibertia,NA,TRUE
Alibertia latifolia (Benth.) K.Schum,8399-2,accepted,8399-2,Alibertia latifolia,(Benth.) K.Schum.,Species,Alibertia latifolia,8399-2,FALSE,TRUE,Alibertia,NA,TRUE
Allamanda cathartica L.,319065-2,accepted,319065-2,Allamanda cathartica,L.,Species,Allamanda cathartica,319065-2,FALSE,TRUE,Allamanda,NA,TRUE
Allium cepa L.,527795-1,accepted,527795-1,Allium cepa,L.,Species,Allium cepa,527795-1,FALSE,FALSE,Allium,not native to SA,FALSE
Allium sativum L.,528796-1,accepted,528796-1,Allium sativum,L.,Species,Allium sativum,528796-1,FALSE,FALSE,Allium,not native to SA,FALSE
Alnus glutinosa (L.) Gaertn.,30036759-2,accepted,30036759-2,Alnus glutinosa,(L.) Gaertn.,Species,Alnus glutinosa,30036759-2,FALSE,FALSE,Alnus,not native to SA,FALSE
