class,family,genus,n_species,n_antimalarial,mean,std_err,eff
Magnoliopsida,Apocynaceae,Geissospermum,5,5,0.00797376853714882,0.039774835140990325,24.94105199798828
Magnoliopsida,Rubiaceae,Cinchona,24,10,0.00797376853714882,0.018154645356474645,22.51175333390703
Magnoliopsida,Apocynaceae,Aspidosperma,76,17,0.00797376853714882,0.010202029953102983,21.14387459954064
Liliopsida,Arecaceae,Euterpe,7,4,0.00797376853714882,0.03361587115053329,16.761570758295928
Magnoliopsida,Rubiaceae,Ladenbergia,37,9,0.00797376853714882,0.014621520193513354,16.090630221231624
Liliopsida,Arecaceae,Iriartella,2,2,0.00797376853714882,0.06288953630161696,15.77410631086725
Magnoliopsida,Amaranthaceae,Cyathula,2,2,0.00797376853714882,0.06288953630161696,15.77410631086725
Magnoliopsida,Fabaceae,Anadenanthera,2,2,0.00797376853714882,0.06288953630161696,15.77410631086725
Magnoliopsida,Rubiaceae,Ciliosemina,2,2,0.00797376853714882,0.06288953630161696,15.77410631086725
Magnoliopsida,Rubiaceae,Uncaria,2,2,0.00797376853714882,0.06288953630161696,15.77410631086725
Magnoliopsida,Viburnaceae,Sambucus,5,3,0.00797376853714882,0.039774835140990325,14.88444211935232
Magnoliopsida,Apocynaceae,Himatanthus,9,4,0.00797376853714882,0.029646411723033936,14.72254652552698
Magnoliopsida,Fabaceae,Grona,6,3,0.00797376853714882,0.03630929071294929,13.550973368019433
Magnoliopsida,Rubiaceae,Remijia,43,8,0.00797376853714882,0.013563106209763337,13.12920066662704
Magnoliopsida,Gentianaceae,Calolisianthus,3,2,0.00797376853714882,0.05134909136640036,12.82774204181002
Magnoliopsida,Rubiaceae,Pogonopus,3,2,0.00797376853714882,0.05134909136640036,12.82774204181002
Magnoliopsida,Malvaceae,Malachra,8,3,0.00797376853714882,0.03144476815080848,11.672092149085046
Liliopsida,Arecaceae,Iriartea,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Liliopsida,Arecaceae,Lepidocaryum,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Liliopsida,Strelitziaceae,Phenakospermum,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Anacardiaceae,Mangifera,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Apocynaceae,Alstonia,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Asteraceae,Achillea,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Asteraceae,Gymnanthemum,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Asteraceae,Pseudoconyza,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Asteraceae,Rolandra,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Bignoniaceae,Callichlamys,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Dilleniaceae,Curatella,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
